deliverable_index,hub_index,hub_name,hub_slug,deliverable_type,title,slug,target_keyword,supporting_topic,cluster_keywords,serp_intent,primary_content_type,brief_file,competitor_research_file,outline_file,source_urls,draft_status,web_review_status,seo_title,meta_description,article_markdown,faq,notes
40,9,Sterility and surgical setup,sterility-and-surgical-setup,supporting_article,Sterility and surgical setup: checklists,sterility-and-surgical-setup-checklists,checklists,checklists,"surgical asepsis (2400), surgical asepsis techniques (110), aseptic and sterile technique (70), sterile field in operating room (70), sterile technique operating room (40)",Educational,supporting article,research\hub_briefs\009-sterility-and-surgical-setup.md,research\hub_competitor_sheets\009-sterility-and-surgical-setup.md,research\hub_outlines\009-sterility-and-surgical-setup.md,"https://my.clevelandclinic.org/health/treatments/aseptic-technique
https://med.libretexts.org/Bookshelves/Nursing/Clinical_Procedures_for_Safer_Patient_Care_%28Doyle_and_McCutcheon%29/01%3A_Infection_Control/1.05%3A_Surgical_Asepsis_and_the_Principles_of_Sterile_Technique
https://www.afpp.org.uk/wp-content/uploads/Standards-Collection-Aseptic-Technique.pdf",not_started,not_started,,,,,
41,10,Orthopedic education content,orthopedic-education-content,hub_page,Orthopedic education content,orthopedic-education-content,orthopaedic procedures,,"orthopaedic procedures (1300), ortho notes (110), surgical model (90), orthopedic notes (70), common orthopedic surgeries (40)",Broad informational,Pillar page,research\hub_briefs\010-orthopedic-education-content.md,research\hub_competitor_sheets\010-orthopedic-education-content.md,research\hub_outlines\010-orthopedic-education-content.md,"https://www.boa.ac.uk/standards-guidance/guidance/nice-trauma-and-orthopaedic-guidelines.html
https://www.orthoracle.com/
https://orthotoc.com/common-orthopedic-surgeries/",not_started,not_started,,,,,
42,10,Orthopedic education content,orthopedic-education-content,supporting_article,Orthopedic education content: Common procedures,orthopedic-education-content-common-procedures,common procedures,Common procedures,"orthopaedic procedures (1300), ortho notes (110), surgical model (90), orthopedic notes (70), common orthopedic surgeries (40)",Broad informational,supporting article,research\hub_briefs\010-orthopedic-education-content.md,research\hub_competitor_sheets\010-orthopedic-education-content.md,research\hub_outlines\010-orthopedic-education-content.md,"https://www.boa.ac.uk/standards-guidance/guidance/nice-trauma-and-orthopaedic-guidelines.html
https://www.orthoracle.com/
https://orthotoc.com/common-orthopedic-surgeries/",not_started,not_started,,,,,
43,10,Orthopedic education content,orthopedic-education-content,supporting_article,Orthopedic education content: ortho notes,orthopedic-education-content-ortho-notes,ortho notes,ortho notes,"orthopaedic procedures (1300), ortho notes (110), surgical model (90), orthopedic notes (70), common orthopedic surgeries (40)",Broad informational,supporting article,research\hub_briefs\010-orthopedic-education-content.md,research\hub_competitor_sheets\010-orthopedic-education-content.md,research\hub_outlines\010-orthopedic-education-content.md,"https://www.boa.ac.uk/standards-guidance/guidance/nice-trauma-and-orthopaedic-guidelines.html
https://www.orthoracle.com/
https://orthotoc.com/common-orthopedic-surgeries/",not_started,not_started,,,,,
44,10,Orthopedic education content,orthopedic-education-content,supporting_article,Orthopedic education content: surgery atlas/overview,orthopedic-education-content-surgery-atlas-overview,surgery atlas/overview,surgery atlas/overview,"orthopaedic procedures (1300), ortho notes (110), surgical model (90), orthopedic notes (70), common orthopedic surgeries (40)",Broad informational,supporting article,research\hub_briefs\010-orthopedic-education-content.md,research\hub_competitor_sheets\010-orthopedic-education-content.md,research\hub_outlines\010-orthopedic-education-content.md,"https://www.boa.ac.uk/standards-guidance/guidance/nice-trauma-and-orthopaedic-guidelines.html
https://www.orthoracle.com/
https://orthotoc.com/common-orthopedic-surgeries/",not_started,not_started,,,,,
45,11,Injection and nerve block techniques,injection-and-nerve-block-techniques,hub_page,Injection and nerve block techniques,injection-and-nerve-block-techniques,digital nerve block,,"digital blocking (1000), subtalar injection (210), subtalar joint injection (110), toe block (110), ankle injection technique (30)",Procedural/educational,Procedure page,research\hub_briefs\011-injection-and-nerve-block-techniques.md,research\hub_competitor_sheets\011-injection-and-nerve-block-techniques.md,research\hub_outlines\011-injection-and-nerve-block-techniques.md,"https://www.msdmanuals.com/professional/injuries-poisoning/how-to-do-anesthesia-procedures/how-to-do-a-digital-nerve-block
https://aneskey.com/digital-nerve-block/
https://boneandspine.com/digital-nerve-block-techniques/",not_started,not_started,,,,,
46,11,Injection and nerve block techniques,injection-and-nerve-block-techniques,supporting_article,Injection and nerve block techniques: Landmarks,injection-and-nerve-block-techniques-landmarks,landmarks,Landmarks,"digital blocking (1000), subtalar injection (210), subtalar joint injection (110), toe block (110), ankle injection technique (30)",Procedural/educational,supporting article,research\hub_briefs\011-injection-and-nerve-block-techniques.md,research\hub_competitor_sheets\011-injection-and-nerve-block-techniques.md,research\hub_outlines\011-injection-and-nerve-block-techniques.md,"https://www.msdmanuals.com/professional/injuries-poisoning/how-to-do-anesthesia-procedures/how-to-do-a-digital-nerve-block
https://aneskey.com/digital-nerve-block/
https://boneandspine.com/digital-nerve-block-techniques/",not_started,not_started,,,,,
47,11,Injection and nerve block techniques,injection-and-nerve-block-techniques,supporting_article,Injection and nerve block techniques: dosing,injection-and-nerve-block-techniques-dosing,dosing,dosing,"digital blocking (1000), subtalar injection (210), subtalar joint injection (110), toe block (110), ankle injection technique (30)",Procedural/educational,supporting article,research\hub_briefs\011-injection-and-nerve-block-techniques.md,research\hub_competitor_sheets\011-injection-and-nerve-block-techniques.md,research\hub_outlines\011-injection-and-nerve-block-techniques.md,"https://www.msdmanuals.com/professional/injuries-poisoning/how-to-do-anesthesia-procedures/how-to-do-a-digital-nerve-block
https://aneskey.com/digital-nerve-block/
https://boneandspine.com/digital-nerve-block-techniques/",not_started,not_started,,,,,
48,11,Injection and nerve block techniques,injection-and-nerve-block-techniques,supporting_article,Injection and nerve block techniques: contraindications,injection-and-nerve-block-techniques-contraindications,contraindications,contraindications,"digital blocking (1000), subtalar injection (210), subtalar joint injection (110), toe block (110), ankle injection technique (30)",Procedural/educational,supporting article,research\hub_briefs\011-injection-and-nerve-block-techniques.md,research\hub_competitor_sheets\011-injection-and-nerve-block-techniques.md,research\hub_outlines\011-injection-and-nerve-block-techniques.md,"https://www.msdmanuals.com/professional/injuries-poisoning/how-to-do-anesthesia-procedures/how-to-do-a-digital-nerve-block
https://aneskey.com/digital-nerve-block/
https://boneandspine.com/digital-nerve-block-techniques/",not_started,not_started,,,,,
49,11,Injection and nerve block techniques,injection-and-nerve-block-techniques,supporting_article,Injection and nerve block techniques: ultrasound vs landmark,injection-and-nerve-block-techniques-ultrasound-vs-landmark,ultrasound vs landmark,ultrasound vs landmark,"digital blocking (1000), subtalar injection (210), subtalar joint injection (110), toe block (110), ankle injection technique (30)",Procedural/educational,supporting article,research\hub_briefs\011-injection-and-nerve-block-techniques.md,research\hub_competitor_sheets\011-injection-and-nerve-block-techniques.md,research\hub_outlines\011-injection-and-nerve-block-techniques.md,"https://www.msdmanuals.com/professional/injuries-poisoning/how-to-do-anesthesia-procedures/how-to-do-a-digital-nerve-block
https://aneskey.com/digital-nerve-block/
https://boneandspine.com/digital-nerve-block-techniques/",not_started,not_started,,,,,
50,12,Fracture fixation techniques,fracture-fixation-techniques,hub_page,Fracture fixation techniques,fracture-fixation-techniques,orif tibial plateau,,"orif tibial plateau (390), gamma nailing (320), open reduction internal fixation tibial plateau (260), open reduction internal fixation tibial plateau fractures (210), dynamic hip screw surgery (110)",Educational/procedural,Procedure page,research\hub_briefs\012-fracture-fixation-techniques.md,research\hub_competitor_sheets\012-fracture-fixation-techniques.md,research\hub_outlines\012-fracture-fixation-techniques.md,https://www.orthobullets.com/trauma/1044/tibial-plateau-fractures,not_started,not_started,,,,,
51,12,Fracture fixation techniques,fracture-fixation-techniques,supporting_article,Fracture fixation techniques: ORIF steps,fracture-fixation-techniques-orif-steps,orif steps,ORIF steps,"orif tibial plateau (390), gamma nailing (320), open reduction internal fixation tibial plateau (260), open reduction internal fixation tibial plateau fractures (210), dynamic hip screw surgery (110)",Educational/procedural,supporting article,research\hub_briefs\012-fracture-fixation-techniques.md,research\hub_competitor_sheets\012-fracture-fixation-techniques.md,research\hub_outlines\012-fracture-fixation-techniques.md,https://www.orthobullets.com/trauma/1044/tibial-plateau-fractures,not_started,not_started,,,,,
52,12,Fracture fixation techniques,fracture-fixation-techniques,supporting_article,Fracture fixation techniques: approach selection,fracture-fixation-techniques-approach-selection,approach selection,approach selection,"orif tibial plateau (390), gamma nailing (320), open reduction internal fixation tibial plateau (260), open reduction internal fixation tibial plateau fractures (210), dynamic hip screw surgery (110)",Educational/procedural,supporting article,research\hub_briefs\012-fracture-fixation-techniques.md,research\hub_competitor_sheets\012-fracture-fixation-techniques.md,research\hub_outlines\012-fracture-fixation-techniques.md,https://www.orthobullets.com/trauma/1044/tibial-plateau-fractures,not_started,not_started,,,,,
53,12,Fracture fixation techniques,fracture-fixation-techniques,supporting_article,Fracture fixation techniques: implants,fracture-fixation-techniques-implants,implants,implants,"orif tibial plateau (390), gamma nailing (320), open reduction internal fixation tibial plateau (260), open reduction internal fixation tibial plateau fractures (210), dynamic hip screw surgery (110)",Educational/procedural,supporting article,research\hub_briefs\012-fracture-fixation-techniques.md,research\hub_competitor_sheets\012-fracture-fixation-techniques.md,research\hub_outlines\012-fracture-fixation-techniques.md,https://www.orthobullets.com/trauma/1044/tibial-plateau-fractures,not_started,not_started,,,,,
54,12,Fracture fixation techniques,fracture-fixation-techniques,supporting_article,Fracture fixation techniques: rehab protocol,fracture-fixation-techniques-rehab-protocol,rehab protocol,rehab protocol,"orif tibial plateau (390), gamma nailing (320), open reduction internal fixation tibial plateau (260), open reduction internal fixation tibial plateau fractures (210), dynamic hip screw surgery (110)",Educational/procedural,supporting article,research\hub_briefs\012-fracture-fixation-techniques.md,research\hub_competitor_sheets\012-fracture-fixation-techniques.md,research\hub_outlines\012-fracture-fixation-techniques.md,https://www.orthobullets.com/trauma/1044/tibial-plateau-fractures,not_started,not_started,,,,,
55,13,Knee arthroplasty,knee-arthroplasty,hub_page,Knee arthroplasty,knee-arthroplasty,lateral knee replacement surgery,,"lateral knee replacement surgery (140), lateral approach knee replacement (110), attune surgical technique (90), attune tkr (90), lateral approach total knee replacement (90)",Low-volume niche / commercial,Procedure page,research\hub_briefs\013-knee-arthroplasty.md,research\hub_competitor_sheets\013-knee-arthroplasty.md,research\hub_outlines\013-knee-arthroplasty.md,"https://www.orlandoortho.com/why-lateral-approach-total-knee-replacement-might-be-a-better-choice-michelles-patient-story/
https://connect.mayoclinic.org/discussion/side-incision-tkr/
https://www.orlandoortho.com/get-back-in-the-game-with-lateral-approach-total-knee-replacement-surgery-toms-story/",not_started,not_started,,,,,
56,13,Knee arthroplasty,knee-arthroplasty,supporting_article,Knee arthroplasty: Lateral approach candidacy,knee-arthroplasty-lateral-approach-candidacy,lateral approach candidacy,Lateral approach candidacy,"lateral knee replacement surgery (140), lateral approach knee replacement (110), attune surgical technique (90), attune tkr (90), lateral approach total knee replacement (90)",Low-volume niche / commercial,supporting article,research\hub_briefs\013-knee-arthroplasty.md,research\hub_competitor_sheets\013-knee-arthroplasty.md,research\hub_outlines\013-knee-arthroplasty.md,"https://www.orlandoortho.com/why-lateral-approach-total-knee-replacement-might-be-a-better-choice-michelles-patient-story/
https://connect.mayoclinic.org/discussion/side-incision-tkr/
https://www.orlandoortho.com/get-back-in-the-game-with-lateral-approach-total-knee-replacement-surgery-toms-story/",not_started,not_started,,,,,
57,13,Knee arthroplasty,knee-arthroplasty,supporting_article,Knee arthroplasty: outcomes,knee-arthroplasty-outcomes,outcomes,outcomes,"lateral knee replacement surgery (140), lateral approach knee replacement (110), attune surgical technique (90), attune tkr (90), lateral approach total knee replacement (90)",Low-volume niche / commercial,supporting article,research\hub_briefs\013-knee-arthroplasty.md,research\hub_competitor_sheets\013-knee-arthroplasty.md,research\hub_outlines\013-knee-arthroplasty.md,"https://www.orlandoortho.com/why-lateral-approach-total-knee-replacement-might-be-a-better-choice-michelles-patient-story/
https://connect.mayoclinic.org/discussion/side-incision-tkr/
https://www.orlandoortho.com/get-back-in-the-game-with-lateral-approach-total-knee-replacement-surgery-toms-story/",not_started,not_started,,,,,
58,13,Knee arthroplasty,knee-arthroplasty,supporting_article,Knee arthroplasty: implant systems,knee-arthroplasty-implant-systems,implant systems,implant systems,"lateral knee replacement surgery (140), lateral approach knee replacement (110), attune surgical technique (90), attune tkr (90), lateral approach total knee replacement (90)",Low-volume niche / commercial,supporting article,research\hub_briefs\013-knee-arthroplasty.md,research\hub_competitor_sheets\013-knee-arthroplasty.md,research\hub_outlines\013-knee-arthroplasty.md,"https://www.orlandoortho.com/why-lateral-approach-total-knee-replacement-might-be-a-better-choice-michelles-patient-story/
https://connect.mayoclinic.org/discussion/side-incision-tkr/
https://www.orlandoortho.com/get-back-in-the-game-with-lateral-approach-total-knee-replacement-surgery-toms-story/",not_started,not_started,,,,,
59,14,Sports medicine and upper extremity,sports-medicine-and-upper-extremity,hub_page,Sports medicine and upper extremity,sports-medicine-and-upper-extremity,trigger finger surgery video,,"trigger finger surgery video (480), achilles tendon surgery video (50), trigger finger release technique (30), achilles tendon rupture repair technique (20), acl reconstruction step by step (20)",Video intent,Video + article hybrid,research\hub_briefs\014-sports-medicine-and-upper-extremity.md,research\hub_competitor_sheets\014-sports-medicine-and-upper-extremity.md,research\hub_outlines\014-sports-medicine-and-upper-extremity.md,"https://www.youtube.com/watch?v=JtqGbwJAAVU
https://csurgeries.com/video/open-surgical-release-of-stenosing-tenosynovitis-a-k-a-trigger-finger/
https://www.orthogate.org/videos/hand-and-wrist/2116-trigger-finger-release-real-time-surgical-video",not_started,not_started,,,,,
60,14,Sports medicine and upper extremity,sports-medicine-and-upper-extremity,supporting_article,Sports medicine and upper extremity: Surgical video,sports-medicine-and-upper-extremity-surgical-video,surgical video,Surgical video,"trigger finger surgery video (480), achilles tendon surgery video (50), trigger finger release technique (30), achilles tendon rupture repair technique (20), acl reconstruction step by step (20)",Video intent,supporting article,research\hub_briefs\014-sports-medicine-and-upper-extremity.md,research\hub_competitor_sheets\014-sports-medicine-and-upper-extremity.md,research\hub_outlines\014-sports-medicine-and-upper-extremity.md,"https://www.youtube.com/watch?v=JtqGbwJAAVU
https://csurgeries.com/video/open-surgical-release-of-stenosing-tenosynovitis-a-k-a-trigger-finger/
https://www.orthogate.org/videos/hand-and-wrist/2116-trigger-finger-release-real-time-surgical-video",not_started,not_started,,,,,
61,14,Sports medicine and upper extremity,sports-medicine-and-upper-extremity,supporting_article,Sports medicine and upper extremity: steps,sports-medicine-and-upper-extremity-steps,steps,steps,"trigger finger surgery video (480), achilles tendon surgery video (50), trigger finger release technique (30), achilles tendon rupture repair technique (20), acl reconstruction step by step (20)",Video intent,supporting article,research\hub_briefs\014-sports-medicine-and-upper-extremity.md,research\hub_competitor_sheets\014-sports-medicine-and-upper-extremity.md,research\hub_outlines\014-sports-medicine-and-upper-extremity.md,"https://www.youtube.com/watch?v=JtqGbwJAAVU
https://csurgeries.com/video/open-surgical-release-of-stenosing-tenosynovitis-a-k-a-trigger-finger/
https://www.orthogate.org/videos/hand-and-wrist/2116-trigger-finger-release-real-time-surgical-video",not_started,not_started,,,,,
62,14,Sports medicine and upper extremity,sports-medicine-and-upper-extremity,supporting_article,Sports medicine and upper extremity: pearls,sports-medicine-and-upper-extremity-pearls,pearls,pearls,"trigger finger surgery video (480), achilles tendon surgery video (50), trigger finger release technique (30), achilles tendon rupture repair technique (20), acl reconstruction step by step (20)",Video intent,supporting article,research\hub_briefs\014-sports-medicine-and-upper-extremity.md,research\hub_competitor_sheets\014-sports-medicine-and-upper-extremity.md,research\hub_outlines\014-sports-medicine-and-upper-extremity.md,"https://www.youtube.com/watch?v=JtqGbwJAAVU
https://csurgeries.com/video/open-surgical-release-of-stenosing-tenosynovitis-a-k-a-trigger-finger/
https://www.orthogate.org/videos/hand-and-wrist/2116-trigger-finger-release-real-time-surgical-video",not_started,not_started,,,,,
63,14,Sports medicine and upper extremity,sports-medicine-and-upper-extremity,supporting_article,Sports medicine and upper extremity: rehab,sports-medicine-and-upper-extremity-rehab,rehab,rehab,"trigger finger surgery video (480), achilles tendon surgery video (50), trigger finger release technique (30), achilles tendon rupture repair technique (20), acl reconstruction step by step (20)",Video intent,supporting article,research\hub_briefs\014-sports-medicine-and-upper-extremity.md,research\hub_competitor_sheets\014-sports-medicine-and-upper-extremity.md,research\hub_outlines\014-sports-medicine-and-upper-extremity.md,"https://www.youtube.com/watch?v=JtqGbwJAAVU
https://csurgeries.com/video/open-surgical-release-of-stenosing-tenosynovitis-a-k-a-trigger-finger/
https://www.orthogate.org/videos/hand-and-wrist/2116-trigger-finger-release-real-time-surgical-video",not_started,not_started,,,,,
64,15,Surgical positioning,surgical-positioning,hub_page,Surgical positioning,surgical-positioning,jackknife position surgery,,"jackknife position surgery (480), jackknife prone positioning (90), prone jackknife position during surgery (50)",Educational/procedural,Educational guide,research\hub_briefs\015-surgical-positioning.md,research\hub_competitor_sheets\015-surgical-positioning.md,research\hub_outlines\015-surgical-positioning.md,"https://www.osmosis.org/answers/jackknife-position
https://www.sciencedirect.com/topics/medicine-and-dentistry/jackknife-position",not_started,not_started,,,,,
65,15,Surgical positioning,surgical-positioning,supporting_article,Surgical positioning: Uses,surgical-positioning-uses,uses,Uses,"jackknife position surgery (480), jackknife prone positioning (90), prone jackknife position during surgery (50)",Educational/procedural,supporting article,research\hub_briefs\015-surgical-positioning.md,research\hub_competitor_sheets\015-surgical-positioning.md,research\hub_outlines\015-surgical-positioning.md,"https://www.osmosis.org/answers/jackknife-position
https://www.sciencedirect.com/topics/medicine-and-dentistry/jackknife-position",not_started,not_started,,,,,
66,15,Surgical positioning,surgical-positioning,supporting_article,Surgical positioning: pressure points,surgical-positioning-pressure-points,pressure points,pressure points,"jackknife position surgery (480), jackknife prone positioning (90), prone jackknife position during surgery (50)",Educational/procedural,supporting article,research\hub_briefs\015-surgical-positioning.md,research\hub_competitor_sheets\015-surgical-positioning.md,research\hub_outlines\015-surgical-positioning.md,"https://www.osmosis.org/answers/jackknife-position
https://www.sciencedirect.com/topics/medicine-and-dentistry/jackknife-position",not_started,not_started,,,,,
67,15,Surgical positioning,surgical-positioning,supporting_article,Surgical positioning: contraindications,surgical-positioning-contraindications,contraindications,contraindications,"jackknife position surgery (480), jackknife prone positioning (90), prone jackknife position during surgery (50)",Educational/procedural,supporting article,research\hub_briefs\015-surgical-positioning.md,research\hub_competitor_sheets\015-surgical-positioning.md,research\hub_outlines\015-surgical-positioning.md,"https://www.osmosis.org/answers/jackknife-position
https://www.sciencedirect.com/topics/medicine-and-dentistry/jackknife-position",not_started,not_started,,,,,
68,15,Surgical positioning,surgical-positioning,supporting_article,Surgical positioning: positioning checklist,surgical-positioning-positioning-checklist,positioning checklist,positioning checklist,"jackknife position surgery (480), jackknife prone positioning (90), prone jackknife position during surgery (50)",Educational/procedural,supporting article,research\hub_briefs\015-surgical-positioning.md,research\hub_competitor_sheets\015-surgical-positioning.md,research\hub_outlines\015-surgical-positioning.md,"https://www.osmosis.org/answers/jackknife-position
https://www.sciencedirect.com/topics/medicine-and-dentistry/jackknife-position",not_started,not_started,,,,,
69,16,Amputation techniques,amputation-techniques,hub_page,Amputation techniques,amputation-techniques,below knee amputation technique,,"below knee amputation technique (70), above knee amputation technique (40), bka surgical technique (20), transtibial amputation technique (20), aka amputation technique (10)",Procedural/technical,Technique guide,research\hub_briefs\016-amputation-techniques.md,research\hub_competitor_sheets\016-amputation-techniques.md,research\hub_outlines\016-amputation-techniques.md,"https://www.orthobullets.com/approaches/12311/below-knee-amputation
https://www.wheelessonline.com/joints/below-knee-amputation/",not_started,not_started,,,,,
70,16,Amputation techniques,amputation-techniques,supporting_article,Amputation techniques: Below-knee vs above-knee flap design,amputation-techniques-below-knee-vs-above-knee-flap-design,below-knee vs above-knee flap design,Below-knee vs above-knee flap design,"below knee amputation technique (70), above knee amputation technique (40), bka surgical technique (20), transtibial amputation technique (20), aka amputation technique (10)",Procedural/technical,supporting article,research\hub_briefs\016-amputation-techniques.md,research\hub_competitor_sheets\016-amputation-techniques.md,research\hub_outlines\016-amputation-techniques.md,"https://www.orthobullets.com/approaches/12311/below-knee-amputation
https://www.wheelessonline.com/joints/below-knee-amputation/",not_started,not_started,,,,,
71,16,Amputation techniques,amputation-techniques,supporting_article,Amputation techniques: level selection,amputation-techniques-level-selection,level selection,level selection,"below knee amputation technique (70), above knee amputation technique (40), bka surgical technique (20), transtibial amputation technique (20), aka amputation technique (10)",Procedural/technical,supporting article,research\hub_briefs\016-amputation-techniques.md,research\hub_competitor_sheets\016-amputation-techniques.md,research\hub_outlines\016-amputation-techniques.md,"https://www.orthobullets.com/approaches/12311/below-knee-amputation
https://www.wheelessonline.com/joints/below-knee-amputation/",not_started,not_started,,,,,
72,16,Amputation techniques,amputation-techniques,supporting_article,Amputation techniques: postoperative rehab,amputation-techniques-postoperative-rehab,postoperative rehab,postoperative rehab,"below knee amputation technique (70), above knee amputation technique (40), bka surgical technique (20), transtibial amputation technique (20), aka amputation technique (10)",Procedural/technical,supporting article,research\hub_briefs\016-amputation-techniques.md,research\hub_competitor_sheets\016-amputation-techniques.md,research\hub_outlines\016-amputation-techniques.md,"https://www.orthobullets.com/approaches/12311/below-knee-amputation
https://www.wheelessonline.com/joints/below-knee-amputation/",not_started,not_started,,,,,
73,17,Surgical approaches,surgical-approaches,hub_page,Surgical approaches,surgical-approaches,anterior surgical approach hip,,"anterior surgical approach hip (40), posterolateral ankle approach (40), medial malleolus approach (20), posterior humerus approach (20), ankle approaches (10)",Procedural/technical,Procedure page,research\hub_briefs\017-surgical-approaches.md,research\hub_competitor_sheets\017-surgical-approaches.md,research\hub_outlines\017-surgical-approaches.md,"https://www.orthobullets.com/approaches/12020/hip-anterior-approach-smith-petersen
https://www.hss.edu/health-library/conditions-and-treatments/anterior-hip-replacement
https://www.yalemedicine.org/conditions/total-hip-replacement-anterior-approach",not_started,not_started,,,,,
74,17,Surgical approaches,surgical-approaches,supporting_article,Surgical approaches: Approach anatomy,surgical-approaches-approach-anatomy,approach anatomy,Approach anatomy,"anterior surgical approach hip (40), posterolateral ankle approach (40), medial malleolus approach (20), posterior humerus approach (20), ankle approaches (10)",Procedural/technical,supporting article,research\hub_briefs\017-surgical-approaches.md,research\hub_competitor_sheets\017-surgical-approaches.md,research\hub_outlines\017-surgical-approaches.md,"https://www.orthobullets.com/approaches/12020/hip-anterior-approach-smith-petersen
https://www.hss.edu/health-library/conditions-and-treatments/anterior-hip-replacement
https://www.yalemedicine.org/conditions/total-hip-replacement-anterior-approach",not_started,not_started,,,,,
75,17,Surgical approaches,surgical-approaches,supporting_article,Surgical approaches: safe intervals,surgical-approaches-safe-intervals,safe intervals,safe intervals,"anterior surgical approach hip (40), posterolateral ankle approach (40), medial malleolus approach (20), posterior humerus approach (20), ankle approaches (10)",Procedural/technical,supporting article,research\hub_briefs\017-surgical-approaches.md,research\hub_competitor_sheets\017-surgical-approaches.md,research\hub_outlines\017-surgical-approaches.md,"https://www.orthobullets.com/approaches/12020/hip-anterior-approach-smith-petersen
https://www.hss.edu/health-library/conditions-and-treatments/anterior-hip-replacement
https://www.yalemedicine.org/conditions/total-hip-replacement-anterior-approach",not_started,not_started,,,,,
76,17,Surgical approaches,surgical-approaches,supporting_article,Surgical approaches: exposure pitfalls,surgical-approaches-exposure-pitfalls,exposure pitfalls,exposure pitfalls,"anterior surgical approach hip (40), posterolateral ankle approach (40), medial malleolus approach (20), posterior humerus approach (20), ankle approaches (10)",Procedural/technical,supporting article,research\hub_briefs\017-surgical-approaches.md,research\hub_competitor_sheets\017-surgical-approaches.md,research\hub_outlines\017-surgical-approaches.md,"https://www.orthobullets.com/approaches/12020/hip-anterior-approach-smith-petersen
https://www.hss.edu/health-library/conditions-and-treatments/anterior-hip-replacement
https://www.yalemedicine.org/conditions/total-hip-replacement-anterior-approach",not_started,not_started,,,,,
77,18,Spine surgery,spine-surgery,hub_page,Spine surgery,spine-surgery,minimally invasive microdiscectomy,,"minimally invasive microdiscectomy (90), microdiscectomy technique (0)",Informational/commercial,Procedure page,research\hub_briefs\018-spine-surgery.md,research\hub_competitor_sheets\018-spine-surgery.md,research\hub_outlines\018-spine-surgery.md,"https://www.hss.edu/health-library/conditions-and-treatments/microdiscectomy
https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/minimally-invasive-lumbar-discectomy
https://www.healthline.com/health/microdiscectomy",not_started,not_started,,,,,
78,18,Spine surgery,spine-surgery,supporting_article,Spine surgery: Microdiscectomy overview,spine-surgery-microdiscectomy-overview,microdiscectomy overview,Microdiscectomy overview,"minimally invasive microdiscectomy (90), microdiscectomy technique (0)",Informational/commercial,supporting article,research\hub_briefs\018-spine-surgery.md,research\hub_competitor_sheets\018-spine-surgery.md,research\hub_outlines\018-spine-surgery.md,"https://www.hss.edu/health-library/conditions-and-treatments/microdiscectomy
https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/minimally-invasive-lumbar-discectomy
https://www.healthline.com/health/microdiscectomy",not_started,not_started,,,,,
79,18,Spine surgery,spine-surgery,supporting_article,Spine surgery: candidacy,spine-surgery-candidacy,candidacy,candidacy,"minimally invasive microdiscectomy (90), microdiscectomy technique (0)",Informational/commercial,supporting article,research\hub_briefs\018-spine-surgery.md,research\hub_competitor_sheets\018-spine-surgery.md,research\hub_outlines\018-spine-surgery.md,"https://www.hss.edu/health-library/conditions-and-treatments/microdiscectomy
https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/minimally-invasive-lumbar-discectomy
https://www.healthline.com/health/microdiscectomy",not_started,not_started,,,,,
80,18,Spine surgery,spine-surgery,supporting_article,Spine surgery: recovery,spine-surgery-recovery,recovery,recovery,"minimally invasive microdiscectomy (90), microdiscectomy technique (0)",Informational/commercial,supporting article,research\hub_briefs\018-spine-surgery.md,research\hub_competitor_sheets\018-spine-surgery.md,research\hub_outlines\018-spine-surgery.md,"https://www.hss.edu/health-library/conditions-and-treatments/microdiscectomy
https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/minimally-invasive-lumbar-discectomy
https://www.healthline.com/health/microdiscectomy",not_started,not_started,,,,,
81,18,Spine surgery,spine-surgery,supporting_article,Spine surgery: minimally invasive benefits,spine-surgery-minimally-invasive-benefits,minimally invasive benefits,minimally invasive benefits,"minimally invasive microdiscectomy (90), microdiscectomy technique (0)",Informational/commercial,supporting article,research\hub_briefs\018-spine-surgery.md,research\hub_competitor_sheets\018-spine-surgery.md,research\hub_outlines\018-spine-surgery.md,"https://www.hss.edu/health-library/conditions-and-treatments/microdiscectomy
https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/minimally-invasive-lumbar-discectomy
https://www.healthline.com/health/microdiscectomy",not_started,not_started,,,,,
82,19,General/urologic procedures,general-urologic-procedures,hub_page,General/urologic procedures,general-urologic-procedures,suprapubic catheter placement technique,,"suprapubic catheter placement technique (20), orchiopexy surgical technique (10)",Procedural/clinical,Procedure page,research\hub_briefs\019-general-urologic-procedures.md,research\hub_competitor_sheets\019-general-urologic-procedures.md,research\hub_outlines\019-general-urologic-procedures.md,"https://www.urology-textbook.com/suprapubic-catheter.html
https://biologyinsights.com/how-to-insert-a-suprapubic-catheter/",not_started,not_started,,,,,
83,19,General/urologic procedures,general-urologic-procedures,supporting_article,General/urologic procedures: Indications,general-urologic-procedures-indications,indications,Indications,"suprapubic catheter placement technique (20), orchiopexy surgical technique (10)",Procedural/clinical,supporting article,research\hub_briefs\019-general-urologic-procedures.md,research\hub_competitor_sheets\019-general-urologic-procedures.md,research\hub_outlines\019-general-urologic-procedures.md,"https://www.urology-textbook.com/suprapubic-catheter.html
https://biologyinsights.com/how-to-insert-a-suprapubic-catheter/",not_started,not_started,,,,,
